InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536396,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,12/1/2010 10:51,4.95,17850.0,United Kingdom
536396,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,12/1/2010 10:51,6.95,17850.0,United Kingdom
536396,82482,WOODEN PICTURE FRAME WHITE FINISH,6,12/1/2010 10:51,2.1,17850.0,United Kingdom
536396,82494L,WOODEN FRAME ANTIQUE WHITE ,12,12/1/2010 10:51,2.55,17850.0,United Kingdom
536396,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 10:51,3.39,17850.0,United Kingdom
536396,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 10:51,3.39,17850.0,United Kingdom
536396,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 10:51,7.65,17850.0,United Kingdom
536396,22803,IVORY EMBROIDERED QUILT ,2,12/1/2010 10:51,35.75,17850.0,United Kingdom
536396,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 10:51,4.25,17850.0,United Kingdom
536399,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 10:52,1.85,17850.0,United Kingdom
536399,22633,HAND WARMER UNION JACK,6,12/1/2010 10:52,1.85,17850.0,United Kingdom
536406,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,12/1/2010 11:33,2.55,17850.0,United Kingdom
536406,71053,WHITE METAL LANTERN,8,12/1/2010 11:33,3.39,17850.0,United Kingdom
536406,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/2010 11:33,2.75,17850.0,United Kingdom
536406,20679,EDWARDIAN PARASOL RED,6,12/1/2010 11:33,4.95,17850.0,United Kingdom
536406,37370,RETRO COFFEE MUGS ASSORTED,6,12/1/2010 11:33,1.06,17850.0,United Kingdom
536406,21871,SAVE THE PLANET MUG,6,12/1/2010 11:33,1.06,17850.0,United Kingdom
536406,21071,VINTAGE BILLBOARD DRINK ME MUG,6,12/1/2010 11:33,1.06,17850.0,United Kingdom
536406,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/1/2010 11:33,1.06,17850.0,United Kingdom
536406,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,12/1/2010 11:33,4.95,17850.0,United Kingdom
536406,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,12/1/2010 11:33,6.95,17850.0,United Kingdom
536406,82482,WOODEN PICTURE FRAME WHITE FINISH,6,12/1/2010 11:33,2.1,17850.0,United Kingdom
536406,82494L,WOODEN FRAME ANTIQUE WHITE ,6,12/1/2010 11:33,2.55,17850.0,United Kingdom
536406,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/1/2010 11:33,3.39,17850.0,United Kingdom
536406,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/2010 11:33,3.39,17850.0,United Kingdom
536406,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/2010 11:33,7.65,17850.0,United Kingdom
536406,22803,IVORY EMBROIDERED QUILT ,2,12/1/2010 11:33,35.75,17850.0,United Kingdom
536406,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/2010 11:33,4.25,17850.0,United Kingdom
536407,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 11:34,1.85,17850.0,United Kingdom
536407,22633,HAND WARMER UNION JACK,6,12/1/2010 11:34,1.85,17850.0,United Kingdom
536600,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 8:32,2.55,17850.0,United Kingdom
536600,71053,WHITE METAL LANTERN,6,12/2/2010 8:32,3.39,17850.0,United Kingdom
536600,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,12/2/2010 8:32,4.95,17850.0,United Kingdom
536600,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,12/2/2010 8:32,6.95,17850.0,United Kingdom
536600,82482,WOODEN PICTURE FRAME WHITE FINISH,6,12/2/2010 8:32,2.1,17850.0,United Kingdom
536600,82494L,WOODEN FRAME ANTIQUE WHITE ,6,12/2/2010 8:32,2.55,17850.0,United Kingdom
536600,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,12/2/2010 8:32,1.65,17850.0,United Kingdom
536600,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/2/2010 8:32,3.39,17850.0,United Kingdom
536600,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/2/2010 8:32,3.39,17850.0,United Kingdom
536600,22752,SET 7 BABUSHKA NESTING BOXES,2,12/2/2010 8:32,7.65,17850.0,United Kingdom
536600,22803,IVORY EMBROIDERED QUILT ,2,12/2/2010 8:32,35.75,17850.0,United Kingdom
536600,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,12/2/2010 8:32,4.25,17850.0,United Kingdom
536601,22632,HAND WARMER RED POLKA DOT,6,12/2/2010 8:33,1.85,17850.0,United Kingdom
536601,22633,HAND WARMER UNION JACK,6,12/2/2010 8:33,1.85,17850.0,United Kingdom
536602,37370,RETRO COFFEE MUGS ASSORTED,6,12/2/2010 8:34,1.06,17850.0,United Kingdom
536602,21871,SAVE THE PLANET MUG,6,12/2/2010 8:34,1.06,17850.0,United Kingdom
536602,21071,VINTAGE BILLBOARD DRINK ME MUG,6,12/2/2010 8:34,1.06,17850.0,United Kingdom
536602,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/2/2010 8:34,1.06,17850.0,United Kingdom
536602,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,12/2/2010 8:34,4.95,17850.0,United Kingdom
536602,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,12/2/2010 8:34,1.65,17850.0,United Kingdom
536602,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/2/2010 8:34,3.39,17850.0,United Kingdom
536602,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/2/2010 8:34,3.39,17850.0,United Kingdom
536602,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,12/2/2010 8:34,4.25,17850.0,United Kingdom
536602,22752,SET 7 BABUSHKA NESTING BOXES,2,12/2/2010 8:34,7.65,17850.0,United Kingdom
536602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 8:34,2.55,17850.0,United Kingdom
536602,71053,WHITE METAL LANTERN,6,12/2/2010 8:34,3.39,17850.0,United Kingdom
536603,22632,HAND WARMER RED POLKA DOT,6,12/2/2010 8:40,1.85,17850.0,United Kingdom
536603,22633,HAND WARMER UNION JACK,6,12/2/2010 8:40,1.85,17850.0,United Kingdom
536609,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 9:41,2.55,17850.0,United Kingdom
536609,71053,WHITE METAL LANTERN,6,12/2/2010 9:41,3.39,17850.0,United Kingdom
536609,84406B,CREAM CUPID HEARTS COAT HANGER,6,12/2/2010 9:41,2.75,17850.0,United Kingdom
536609,37370,RETRO COFFEE MUGS ASSORTED,6,12/2/2010 9:41,1.06,17850.0,United Kingdom
536609,21871,SAVE THE PLANET MUG,6,12/2/2010 9:41,1.06,17850.0,United Kingdom
536609,21071,VINTAGE BILLBOARD DRINK ME MUG,6,12/2/2010 9:41,1.06,17850.0,United Kingdom
536609,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/2/2010 9:41,1.06,17850.0,United Kingdom
536609,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,12/2/2010 9:41,4.95,17850.0,United Kingdom
536609,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,12/2/2010 9:41,6.95,17850.0,United Kingdom
536609,82482,WOODEN PICTURE FRAME WHITE FINISH,6,12/2/2010 9:41,2.1,17850.0,United Kingdom
536609,82494L,WOODEN FRAME ANTIQUE WHITE ,6,12/2/2010 9:41,2.55,17850.0,United Kingdom
536609,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,12/2/2010 9:41,1.65,17850.0,United Kingdom
536609,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/2/2010 9:41,3.39,17850.0,United Kingdom
536609,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/2/2010 9:41,3.39,17850.0,United Kingdom
536609,22752,SET 7 BABUSHKA NESTING BOXES,2,12/2/2010 9:41,7.65,17850.0,United Kingdom
536609,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/2/2010 9:41,4.25,17850.0,United Kingdom
536610,22632,HAND WARMER RED POLKA DOT,6,12/2/2010 9:42,1.85,17850.0,United Kingdom
536610,22633,HAND WARMER UNION JACK,6,12/2/2010 9:42,1.85,17850.0,United Kingdom
536612,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 9:44,2.55,17850.0,United Kingdom
536612,71053,WHITE METAL LANTERN,6,12/2/2010 9:44,3.39,17850.0,United Kingdom
536612,84406B,CREAM CUPID HEARTS COAT HANGER,6,12/2/2010 9:44,2.75,17850.0,United Kingdom
536612,37370,RETRO COFFEE MUGS ASSORTED,6,12/2/2010 9:44,1.06,17850.0,United Kingdom
536612,21871,SAVE THE PLANET MUG,6,12/2/2010 9:44,1.06,17850.0,United Kingdom
536612,21071,VINTAGE BILLBOARD DRINK ME MUG,6,12/2/2010 9:44,1.06,17850.0,United Kingdom
536612,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/2/2010 9:44,1.06,17850.0,United Kingdom
536612,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,12/2/2010 9:44,4.95,17850.0,United Kingdom
536612,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,12/2/2010 9:44,6.95,17850.0,United Kingdom
536612,82482,WOODEN PICTURE FRAME WHITE FINISH,6,12/2/2010 9:44,2.1,17850.0,United Kingdom
536612,82494L,WOODEN FRAME ANTIQUE WHITE ,6,12/2/2010 9:44,2.55,17850.0,United Kingdom
536612,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,12/2/2010 9:44,1.65,17850.0,United Kingdom
536612,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/2/2010 9:44,3.39,17850.0,United Kingdom
536612,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/2/2010 9:44,3.39,17850.0,United Kingdom
536612,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,12/2/2010 9:44,4.25,17850.0,United Kingdom
536614,22632,HAND WARMER RED POLKA DOT,6,12/2/2010 9:44,1.85,17850.0,United Kingdom
536614,22633,HAND WARMER UNION JACK,6,12/2/2010 9:44,1.85,17850.0,United Kingdom
536628,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 10:54,2.55,17850.0,United Kingdom
536628,71053,WHITE METAL LANTERN,6,12/2/2010 10:54,3.39,17850.0,United Kingdom
536628,84406B,CREAM CUPID HEARTS COAT HANGER,6,12/2/2010 10:54,2.75,17850.0,United Kingdom
536628,37370,RETRO COFFEE MUGS ASSORTED,6,12/2/2010 10:54,1.06,17850.0,United Kingdom
536628,21871,SAVE THE PLANET MUG,6,12/2/2010 10:54,1.06,17850.0,United Kingdom
536628,21071,VINTAGE BILLBOARD DRINK ME MUG,6,12/2/2010 10:54,1.06,17850.0,United Kingdom
536628,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/2/2010 10:54,1.06,17850.0,United Kingdom
536628,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,12/2/2010 10:54,4.95,17850.0,United Kingdom
536628,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,12/2/2010 10:54,6.95,17850.0,United Kingdom
536628,82482,WOODEN PICTURE FRAME WHITE FINISH,6,12/2/2010 10:54,2.1,17850.0,United Kingdom
536628,82494L,WOODEN FRAME ANTIQUE WHITE ,6,12/2/2010 10:54,2.55,17850.0,United Kingdom
536628,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,12/2/2010 10:54,1.65,17850.0,United Kingdom
536628,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/2/2010 10:54,3.39,17850.0,United Kingdom
536628,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/2/2010 10:54,3.39,17850.0,United Kingdom
536628,22752,SET 7 BABUSHKA NESTING BOXES,2,12/2/2010 10:54,7.65,17850.0,United Kingdom
536628,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/2/2010 10:54,4.25,17850.0,United Kingdom
536629,22632,HAND WARMER RED POLKA DOT,6,12/2/2010 10:55,1.85,17850.0,United Kingdom
536629,22633,HAND WARMER UNION JACK,6,12/2/2010 10:55,1.85,17850.0,United Kingdom
536630,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 10:56,2.55,17850.0,United Kingdom
536630,71053,WHITE METAL LANTERN,6,12/2/2010 10:56,3.39,17850.0,United Kingdom
536630,84406B,CREAM CUPID HEARTS COAT HANGER,6,12/2/2010 10:56,2.75,17850.0,United Kingdom
536630,37370,RETRO COFFEE MUGS ASSORTED,6,12/2/2010 10:56,1.06,17850.0,United Kingdom
536630,21871,SAVE THE PLANET MUG,6,12/2/2010 10:56,1.06,17850.0,United Kingdom
536630,21071,VINTAGE BILLBOARD DRINK ME MUG,6,12/2/2010 10:56,1.06,17850.0,United Kingdom
536630,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/2/2010 10:56,1.06,17850.0,United Kingdom
536630,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,12/2/2010 10:56,4.95,17850.0,United Kingdom
536630,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,12/2/2010 10:56,6.95,17850.0,United Kingdom
536630,82482,WOODEN PICTURE FRAME WHITE FINISH,6,12/2/2010 10:56,2.1,17850.0,United Kingdom
536630,82494L,WOODEN FRAME ANTIQUE WHITE ,6,12/2/2010 10:56,2.55,17850.0,United Kingdom
536630,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,12/2/2010 10:56,1.65,17850.0,United Kingdom
536630,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/2/2010 10:56,3.39,17850.0,United Kingdom
536630,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/2/2010 10:56,3.39,17850.0,United Kingdom
536630,22752,SET 7 BABUSHKA NESTING BOXES,2,12/2/2010 10:56,7.65,17850.0,United Kingdom
536630,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/2/2010 10:56,4.25,17850.0,United Kingdom
536631,22632,HAND WARMER RED POLKA DOT,6,12/2/2010 10:58,1.85,17850.0,United Kingdom
536631,22633,HAND WARMER UNION JACK,6,12/2/2010 10:58,1.85,17850.0,United Kingdom
536685,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,12/2/2010 12:23,3.39,17850.0,United Kingdom
536685,22752,SET 7 BABUSHKA NESTING BOXES,4,12/2/2010 12:23,7.65,17850.0,United Kingdom
536685,22803,IVORY EMBROIDERED QUILT ,2,12/2/2010 12:23,35.75,17850.0,United Kingdom
536685,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/2/2010 12:23,4.25,17850.0,United Kingdom
536685,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/2/2010 12:23,2.55,17850.0,United Kingdom
536685,71053,WHITE METAL LANTERN,12,12/2/2010 12:23,3.39,17850.0,United Kingdom
536685,84406B,CREAM CUPID HEARTS COAT HANGER,6,12/2/2010 12:23,2.75,17850.0,United Kingdom
536685,37370,RETRO COFFEE MUGS ASSORTED,6,12/2/2010 12:23,1.06,17850.0,United Kingdom
536685,21871,SAVE THE PLANET MUG,6,12/2/2010 12:23,1.06,17850.0,United Kingdom
536685,21071,VINTAGE BILLBOARD DRINK ME MUG,6,12/2/2010 12:23,1.06,17850.0,United Kingdom
536685,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/2/2010 12:23,1.06,17850.0,United Kingdom
536685,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,12/2/2010 12:23,4.95,17850.0,United Kingdom
536685,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,12/2/2010 12:23,6.95,17850.0,United Kingdom
536685,82482,WOODEN PICTURE FRAME WHITE FINISH,6,12/2/2010 12:23,2.1,17850.0,United Kingdom
536685,82494L,WOODEN FRAME ANTIQUE WHITE ,6,12/2/2010 12:23,2.55,17850.0,United Kingdom
536685,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,12/2/2010 12:23,1.65,17850.0,United Kingdom
536685,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,12/2/2010 12:23,3.39,17850.0,United Kingdom
536688,22632,HAND WARMER RED POLKA DOT,6,12/2/2010 12:24,1.85,17850.0,United Kingdom
536688,22633,HAND WARMER UNION JACK,6,12/2/2010 12:24,1.85,17850.0,United Kingdom
536690,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 12:25,2.55,17850.0,United Kingdom
536690,71053,WHITE METAL LANTERN,6,12/2/2010 12:25,3.39,17850.0,United Kingdom
536690,84406B,CREAM CUPID HEARTS COAT HANGER,6,12/2/2010 12:25,2.75,17850.0,United Kingdom
536690,37370,RETRO COFFEE MUGS ASSORTED,6,12/2/2010 12:25,1.06,17850.0,United Kingdom
536690,21871,SAVE THE PLANET MUG,6,12/2/2010 12:25,1.06,17850.0,United Kingdom
536690,21071,VINTAGE BILLBOARD DRINK ME MUG,6,12/2/2010 12:25,1.06,17850.0,United Kingdom
536690,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/2/2010 12:25,1.06,17850.0,United Kingdom
536690,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,12/2/2010 12:25,4.95,17850.0,United Kingdom
536690,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,12/2/2010 12:25,6.95,17850.0,United Kingdom
536690,82482,WOODEN PICTURE FRAME WHITE FINISH,6,12/2/2010 12:25,2.1,17850.0,United Kingdom
536690,82494L,WOODEN FRAME ANTIQUE WHITE ,6,12/2/2010 12:25,2.55,17850.0,United Kingdom
536690,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,12/2/2010 12:25,1.65,17850.0,United Kingdom
536690,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/2/2010 12:25,3.39,17850.0,United Kingdom
536690,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/2/2010 12:25,3.39,17850.0,United Kingdom
536690,22752,SET 7 BABUSHKA NESTING BOXES,4,12/2/2010 12:25,7.65,17850.0,United Kingdom
536690,22803,IVORY EMBROIDERED QUILT ,2,12/2/2010 12:25,35.75,17850.0,United Kingdom
536690,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/2/2010 12:25,4.25,17850.0,United Kingdom
536693,22632,HAND WARMER RED POLKA DOT,6,12/2/2010 12:26,1.85,17850.0,United Kingdom
536693,22633,HAND WARMER UNION JACK,6,12/2/2010 12:26,1.85,17850.0,United Kingdom
536750,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/2/2010 14:04,2.55,17850.0,United Kingdom
536750,71053,WHITE METAL LANTERN,12,12/2/2010 14:04,3.39,17850.0,United Kingdom
536750,84406B,CREAM CUPID HEARTS COAT HANGER,6,12/2/2010 14:04,2.75,17850.0,United Kingdom
536750,15056BL,EDWARDIAN PARASOL BLACK,6,12/2/2010 14:04,4.95,17850.0,United Kingdom
536750,20679,EDWARDIAN PARASOL RED,6,12/2/2010 14:04,4.95,17850.0,United Kingdom
536750,37370,RETRO COFFEE MUGS ASSORTED,6,12/2/2010 14:04,1.06,17850.0,United Kingdom
536750,21871,SAVE THE PLANET MUG,6,12/2/2010 14:04,1.06,17850.0,United Kingdom
536750,21071,VINTAGE BILLBOARD DRINK ME MUG,6,12/2/2010 14:04,1.06,17850.0,United Kingdom
536750,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,12/2/2010 14:04,1.06,17850.0,United Kingdom
536750,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,12/2/2010 14:04,4.95,17850.0,United Kingdom
536750,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,12/2/2010 14:04,6.95,17850.0,United Kingdom
536750,82482,WOODEN PICTURE FRAME WHITE FINISH,6,12/2/2010 14:04,2.1,17850.0,United Kingdom
536750,82494L,WOODEN FRAME ANTIQUE WHITE ,6,12/2/2010 14:04,2.55,17850.0,United Kingdom
536750,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,6,12/2/2010 14:04,1.65,17850.0,United Kingdom
536750,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/2/2010 14:04,3.39,17850.0,United Kingdom
536750,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/2/2010 14:04,3.39,17850.0,United Kingdom
536750,22752,SET 7 BABUSHKA NESTING BOXES,4,12/2/2010 14:04,7.65,17850.0,United Kingdom
536750,22803,IVORY EMBROIDERED QUILT ,2,12/2/2010 14:04,35.75,17850.0,United Kingdom
536750,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,12/2/2010 14:04,4.25,17850.0,United Kingdom
536751,22632,HAND WARMER RED POLKA DOT,6,12/2/2010 14:05,1.85,17850.0,United Kingdom
536751,22633,HAND WARMER UNION JACK,6,12/2/2010 14:05,1.85,17850.0,United Kingdom
536752,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/2/2010 14:06,2.55,17850.0,United Kingdom
536752,71053,WHITE METAL LANTERN,6,12/2/2010 14:06,3.39,17850.0,United Kingdom
536752,84406B,CREAM CUPID HEARTS COAT HANGER,6,12/2/2010 14:06,2.75,17850.0,United Kingdom
536752,15056BL,EDWARDIAN PARASOL BLACK,6,12/2/2010 14:06,4.95,17850.0,United Kingdom
536752,20679,EDWARDIAN PARASOL RED,6,12/2/2010 14:06,4.95,17850.0,United Kingdom
